USAK0001, Adak,AK
USAK0002, Adak Island,AK
USAK0003, Akiachak,AK
USAK0004, Akiak,AK
USAK0005, Akutan,AK
USAK0006, Alakanuk,AK
USAK0007, Aleknagik,AK
USAK0008, Allakaket,AK
USAK0009, Ambler,AK
USAK0010, Anaktuvuk Pass,AK
USAK0011, Anchor Point,AK
USAK0012, Anchorage,AK
USAK0013, Anchorage/Elmendorf AFB,AK
USAK0014, Anchorage/Lake Hood Seaplane Base,AK
USAK0015, Anchorage/Merrill Field,AK
USAK0016, Anderson,AK
USAK0017, Angoon,AK
USAK0018, Aniak,AK
USAK0019, Annette,AK
USAK0020, Anvik,AK
USAK0021, Arctic Village,AK
USAK0022, Atka,AK
USAK0023, Atqasuk,AK
USAK0024, Auke Bay,AK
USAK0025, Barrow,AK
USAK0026, Barter Island,AK
USAK0027, Beaver,AK
USAK0028, Bethel,AK
USAK0029, Bettles,AK
USAK0030, Bettles Field,AK
USAK0031, Big Delta,AK
USAK0032, Big Lake,AK
USAK0033, Big River Lakes,AK
USAK0034, Birchwood,AK
USAK0035, Brevig Mission,AK
USAK0036, Buckland,AK
USAK0037, Cantwell,AK
USAK0038, Cape Lisburne,AK
USAK0039, Cape Newenham,AK
USAK0040, Cape Romanzof,AK
USAK0041, Central,AK
USAK0042, Chalkyitsik,AK
USAK0043, Chandalar Lake,AK
USAK0044, Chefornak,AK
USAK0045, Chevak,AK
USAK0046, Chicken,AK
USAK0047, Chignik,AK
USAK0048, Chignik Lagoon,AK
USAK0049, Chignik Lake,AK
USAK0050, Chitina,AK
USAK0051, Chugiak,AK
USAK0052, Chulitna,AK
USAK0053, Circle,AK
USAK0054, Clam Gulch,AK
USAK0055, Clarks Point,AK
USAK0056, Clear,AK
USAK0057, Coffman Cove,AK
USAK0058, Cold Bay,AK
USAK0059, Cooper Landing,AK
USAK0060, Copper Center,AK
USAK0061, Cordova,AK
USAK0062, Craig,AK
USAK0063, Crooked Creek,AK
USAK0064, Deadhorse,AK
USAK0065, Deering,AK
USAK0066, Delta Junction,AK
USAK0067, Denali Natl Park,AK
USAK0068, Dillingham,AK
USAK0069, Douglas,AK
USAK0070, Dutch Harbor,AK
USAK0071, Eagle,AK
USAK0072, Eagle River,AK
